timestamp_et,user,club,query,table_used,completeness,first_table_used,second_table_used,third_table_used,fourth_table_used,fifth_table_used,sixth_table_used,table_used_num,data_environment
"Apr 28, 2025, 1:19 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct nfl_fan_id) FROM fulfillment_ptc.ptc_mapping,mapping,1,mapping,,,,,,1,gridiron
"Apr 28, 2025, 1:06 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,select distinct tm.season_yr   from AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm limit 100,ticketing_fan_transaction,1,ticketing_fan_transaction,,,,,,1,legacy
"Apr 28, 2025, 1:06 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,select *   from AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm limit 100,ticketing_fan_transaction,1,ticketing_fan_transaction,,,,,,1,legacy
"Apr 28, 2025, 1:06 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,"select tm.*,vw.zip_code,vw.country from    AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm     left join AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw vw    on cust_id=nfl_fan_id where seat_status='Resale'  select *   from AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm limit 100","ticketing_fan_transaction,fan_unified_view",1,ticketing_fan_transaction,fan_unified_view,,,,,2,legacy
"Apr 28, 2025, 1:06 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,"select tm.*,vw.zip_code,vw.country from    AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm     left join AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw vw    on cust_id=nfl_fan_id where seat_status='Resale'  select *   from AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm limit 100","ticketing_fan_transaction,fan_unified_view",1,ticketing_fan_transaction,fan_unified_view,,,,,2,legacy
"Apr 28, 2025, 1:05 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,"select tm.*,vw.zip_code,vw.country from    AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm     left join AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw vw    on cust_id=nfl_fan_id where seat_status='Resale'  select distinct tm.season_yr   from AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm","ticketing_fan_transaction,fan_unified_view",1,ticketing_fan_transaction,fan_unified_view,,,,,2,legacy
"Apr 28, 2025, 1:05 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,"select tm.*,vw.zip_code,vw.country from    AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm     left join AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw vw    on cust_id=nfl_fan_id where seat_status='Resale'   select distinct season_yr   from AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw","ticketing_fan_transaction,fan_unified_view",1,ticketing_fan_transaction,fan_unified_view,,,,,2,legacy
"Apr 28, 2025, 1:04 AM",0a2f18438ca71b481d65d08d4dad8dae7877af3f1dd1b7df4fc2b050573cb9c3,Rocket,"select tm.*,vw.zip_code,vw.country from    AwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw tm     left join AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw vw    on cust_id=nfl_fan_id where seat_status='Resale'   select distinct season_yr  from tickAwsDataCatalog.nfl_mart_xx.ticketing_fan_transaction_xx_vw","ticketing_fan_transaction,fan_unified_view",1,ticketing_fan_transaction,fan_unified_view,,,,,2,legacy
"Apr 28, 2025, 11:06 AM",30b8d001b5cb785338d07b65084932bafba1a10711aa9485d8f6aa28ba37da3e,Warlock,select * from fulfillment_ptc.ptc_uvof limit 10,uvof,1,uvof,,,,,,1,gridiron
"Apr 25, 2025, 5:28 AM",7d9054387b3feba82b22f12afd3f3cb8f784ff0c3ed41a1e24b518d42dd1189c,Nova,"WITH total_counts AS (     SELECT          SUM(COUNT(DISTINCT a.individual_id)) OVER () AS total_fans,         SUM(COUNT(DISTINCT a.profile_id)) OVER () AS total_fan_profiles     FROM          fulfillment_ptc.ptc_fan_source_profile a         INNER JOIN fulfillment_ptc.ptc_fan_uvof_plus b ON a.individual_id = b.individual_id         AND b.birth_date IS NOT NULL         AND b.favorite_team_individual = 'sea'     WHERE          a.age < 30 ) SELECT      a.profile_source_system_name,     AVG(a.age) AS average_age,     COUNT(DISTINCT a.individual_id) AS fans,     COUNT(DISTINCT a.profile_id) AS fan_profiles,     COUNT(DISTINCT a.individual_id) * 1.0 / (SELECT total_fans FROM total_counts) AS fans_percentage,     COUNT(DISTINCT a.profile_id) * 1.0 / (SELECT total_fan_profiles FROM total_counts) AS fan_profiles_percentage FROM      fulfillment_ptc.ptc_fan_source_profile a     INNER JOIN fulfillment_ptc.ptc_fan_uvof_plus b ON a.individual_id = b.individual_id     AND b.birth_date IS NOT NULL     AND b.favorite_team_individual = 'sea' WHERE      a.age < 30 GROUP BY      a.profile_source_system_name ORDER BY      COUNT(DISTINCT a.individual_id) DESC;","fan_source_profile,fan_uvof_plus",1,fan_source_profile,fan_uvof_plus,,,,,2,gridiron
"Apr 25, 2025, 5:22 AM",7d9054387b3feba82b22f12afd3f3cb8f784ff0c3ed41a1e24b518d42dd1189c,Nova,"WITH total_counts AS (     SELECT          SUM(COUNT(DISTINCT a.individual_id)) OVER () AS total_fans,         SUM(COUNT(DISTINCT a.profile_id)) OVER () AS total_fan_profiles     FROM          fulfillment_ptc.ptc_fan_source_profile a         INNER JOIN fulfillment_ptc.ptc_fan_uvof_plus b ON a.individual_id = b.individual_id         AND b.birth_date IS NOT NULL         AND b.favorite_team_individual = 'sea' ) SELECT      a.profile_source_system_name,     AVG(a.age) AS average_age,     COUNT(DISTINCT a.individual_id) AS fans,     COUNT(DISTINCT a.profile_id) AS fan_profiles,     COUNT(DISTINCT a.individual_id) * 1.0 / (SELECT total_fans FROM total_counts) AS fans_percentage,     COUNT(DISTINCT a.profile_id) * 1.0 / (SELECT total_fan_profiles FROM total_counts) AS fan_profiles_percentage FROM      fulfillment_ptc.ptc_fan_source_profile a     INNER JOIN fulfillment_ptc.ptc_fan_uvof_plus b ON a.individual_id = b.individual_id     AND b.birth_date IS NOT NULL     AND b.favorite_team_individual = 'sea' GROUP BY      a.profile_source_system_name ORDER BY      COUNT(DISTINCT a.individual_id) DESC;","fan_source_profile,fan_uvof_plus",1,fan_source_profile,fan_uvof_plus,,,,,2,gridiron
"Apr 25, 2025, 5:20 AM",7d9054387b3feba82b22f12afd3f3cb8f784ff0c3ed41a1e24b518d42dd1189c,Nova,"WITH total_counts AS (     SELECT          SUM(COUNT(DISTINCT a.individual_id)) OVER () AS total_fans,         SUM(COUNT(DISTINCT a.profile_id)) OVER () AS total_fan_profiles     FROM          fulfillment_ptc.ptc_fan_source_profile a         INNER JOIN fulfillment_ptc.ptc_fan_uvof_plus b ON a.individual_id = b.individual_id         AND b.birth_date IS NOT NULL         AND b.favorite_team_individual = 'sea' ) SELECT      a.profile_source_system_name,     AVG(a.age) AS average_age,     COUNT(DISTINCT a.individual_id) AS fans,     COUNT(DISTINCT a.profile_id) AS fan_profiles,     COUNT(DISTINCT a.individual_id) * 100.0 / (SELECT total_fans FROM total_counts) AS fans_percentage,     COUNT(DISTINCT a.profile_id) * 100.0 / (SELECT total_fan_profiles FROM total_counts) AS fan_profiles_percentage FROM      fulfillment_ptc.ptc_fan_source_profile a     INNER JOIN fulfillment_ptc.ptc_fan_uvof_plus b ON a.individual_id = b.individual_id     AND b.birth_date IS NOT NULL     AND b.favorite_team_individual = 'sea' GROUP BY      a.profile_source_system_name ORDER BY      COUNT(DISTINCT a.individual_id) DESC;","fan_source_profile,fan_uvof_plus",1,fan_source_profile,fan_uvof_plus,,,,,2,gridiron
"Apr 25, 2025, 5:18 AM",7d9054387b3feba82b22f12afd3f3cb8f784ff0c3ed41a1e24b518d42dd1189c,Nova,"WITH total_counts AS (     SELECT          SUM(COUNT(DISTINCT individual_id)) OVER () AS total_fans,         SUM(COUNT(DISTINCT profile_id)) OVER () AS total_fan_profiles     FROM          fulfillment_ptc.ptc_fan_source_profile ) SELECT      profile_source_system_name,     AVG(age) AS average_age,     COUNT(DISTINCT individual_id) AS fans,     COUNT(DISTINCT profile_id) AS fan_profiles,     COUNT(DISTINCT individual_id) * 100.0 / (SELECT total_fans FROM total_counts) AS fans_percentage,     COUNT(DISTINCT profile_id) * 100.0 / (SELECT total_fan_profiles FROM total_counts) AS fan_profiles_percentage FROM      fulfillment_ptc.ptc_fan_source_profile GROUP BY      profile_source_system_name ORDER BY      COUNT(DISTINCT individual_id) DESC;",fan_source_profile,1,fan_source_profile,,,,,,1,gridiron
"Apr 25, 2025, 5:17 AM",7d9054387b3feba82b22f12afd3f3cb8f784ff0c3ed41a1e24b518d42dd1189c,Nova,"SELECT      profile_source_system_name,    AVG(age) AS average_age,     COUNT(DISTINCT individual_id) AS fans,     COUNT(DISTINCT profile_id) AS fan_profiles,     COUNT(DISTINCT individual_id) * 100.0 / SUM(COUNT(DISTINCT individual_id)) OVER () AS fans_percentage,     COUNT(DISTINCT profile_id) * 100.0 / SUM(COUNT(DISTINCT profile_id)) OVER () AS fan_profiles_percentage FROM      fulfillment_ptc.ptc_fan_source_profile GROUP BY      profile_source_system_name ORDER BY      COUNT(DISTINCT individual_id) DESC;",fan_source_profile,1,fan_source_profile,,,,,,1,gridiron
"Apr 25, 2025, 5:17 AM",7d9054387b3feba82b22f12afd3f3cb8f784ff0c3ed41a1e24b518d42dd1189c,Nova,"SELECT      profile_source_system_name,         COUNT(DISTINCT individual_id) AS fans,     COUNT(DISTINCT profile_id) AS fan_profiles,     COUNT(DISTINCT individual_id) * 100.0 / SUM(COUNT(DISTINCT individual_id)) OVER () AS fans_percentage,     COUNT(DISTINCT profile_id) * 100.0 / SUM(COUNT(DISTINCT profile_id)) OVER () AS fan_profiles_percentage FROM      fulfillment_ptc.ptc_fan_source_profile GROUP BY      profile_source_system_name ORDER BY      COUNT(DISTINCT individual_id) DESC;",fan_source_profile,1,fan_source_profile,,,,,,1,gridiron
